catch_terms,recode_column,organization_name,branch,agency,level_above,us_office_type,domains,abbreviation,country,gov_contractor,us_fed_stats,us_national_lab,source,city,state,github
usda shared services division,usda shared services division,USDA Shared Services Division,US Executive Branch,US Department of Agriculture,USDA Office of the Chief Financial Officer,Division,,,United States,,,,,,,
national finance center,national finance center,USDA National Finance Center,US Executive Branch,US Department of Agriculture,USDA Office of the Chief Financial Officer,Division,,,United States,,,,,,,
usda office of the chief information officer,usda office of the chief information officer,USDA Office of the Chief Information Officer,US Executive Branch,US Department of Agriculture,USDA Secretary/Deputy Secretary,Staff Offices,ocio.usda.gov,,United States,,,,,,,
usda office of the chief scientist,usda office of the chief scientist,USDA Office of the Chief Scientist,US Executive Branch,US Department of Agriculture,USDA Secretary/Deputy Secretary,Staff Offices,ocs.usda.gov,,United States,,,,,,,
usda office of communications,usda office of communications,USDA Office of Communications,US Executive Branch,US Department of Agriculture,USDA Secretary/Deputy Secretary,Staff Offices,oc.usda.gov,,United States,,,,,,,
usda office of congressional relations,usda office of congressional relations,USDA Office of Congressional Relations,US Executive Branch,US Department of Agriculture,USDA Secretary/Deputy Secretary,Staff Offices,ocr.usda.gov,,United States,,,,,,,
usda office of ethics,usda office of ethics,USDA Office of Ethics,US Executive Branch,US Department of Agriculture,USDA Secretary/Deputy Secretary,Staff Offices,oe.usda.gov,,United States,,,,,,,
usda office of the executive secretariat,usda office of the executive secretariat,USDA Office of the Executive Secretariat,US Executive Branch,US Department of Agriculture,USDA Secretary/Deputy Secretary,Staff Offices,execsec.gov,,United States,,,,,,,
usda office of the inspector general,usda office of the inspector general,USDA Office of the Inspector General,US Executive Branch,US Department of Agriculture,USDA Secretary/Deputy Secretary,Staff Offices,oig.usda.gov,,United States,,,,,,,
usda office of the general counsel,usda office of the general counsel,USDA Office of the General Counsel,US Executive Branch,US Department of Agriculture,USDA Secretary/Deputy Secretary,Staff Offices,ogc.usda.gov,,United States,,,,https://www.usda.gov/our-agency/staff-offices/office-general-counsel-ogc,,,
usda marketing regulatory and food safety programs,usda marketing regulatory and food safety programs,"USDA Marketing, Regulatory, and Food Safety Programs",US Executive Branch,US Department of Agriculture,USDA Office of the General Counsel,Division,,,United States,,,,,,,
usda international affairs food assistance and farm and rural programs,usda international affairs food assistance and farm and rural programs,"USDA International Affairs, Food Assistance, and Farm and Rural Programs",US Executive Branch,US Department of Agriculture,USDA Office of the General Counsel,Division,,,United States,,,,,,,
usda natural resources and environment,usda natural resources and environment,USDA Natural Resources and Environment,US Executive Branch,US Department of Agriculture,USDA Office of the General Counsel,Division,,,United States,,,,,,,
usda general law and research,usda general law and research,USDA General Law and Research,US Executive Branch,US Department of Agriculture,USDA Office of the General Counsel,Division,,,United States,,,,,,,
usda civil rights labor and employment law,usda civil rights labor and employment law,"USDA Civil Rights, Labor and Employment Law",US Executive Branch,US Department of Agriculture,USDA Office of the General Counsel,Division,,,United States,,,,,,,
usda office of the ombudsperson,usda office of the ombudsperson,USDA Office of the Ombudsperson,US Executive Branch,US Department of Agriculture,USDA Secretary/Deputy Secretary,Staff Offices,oo.usda.gov,,United States,,,,,,,
usda office of tribal relations,usda office of tribal relations,USDA Office of Tribal Relations,US Executive Branch,US Department of Agriculture,USDA Secretary/Deputy Secretary,Staff Offices,otr.usda.gov,,United States,,,,https://www.usda.gov/tribalrelations,,,
usda secretary for farm production and conservation,usda secretary for farm production and conservation,USDA Secretary for Farm Production and Conservation,US Executive Branch,US Department of Agriculture,USDA Secretary/Deputy Secretary,Under Secretary Office,fpac.usda.gov,fpac,United States,,,,,,,
farm production and conservation business center,farm production and conservation business center,USDA Farm Production and Conservation Business Center,US Executive Branch,US Department of Agriculture,USDA Secretary for Farm Production and Conservation,Agency,fpacbc.usda.gov,fpacbc,United States,,,,https://www.fpacbc.usda.gov/about/index.html,,,
usda farm service agency,usda farm service agency,USDA Farm Service Agency,US Executive Branch,US Department of Agriculture,USDA Secretary for Farm Production and Conservation,Agency,fsa.usda.gov,fsa,United States,,,,https://www.fsa.usda.gov/programs-and-services/index,,,
usda risk management agency,usda risk management agency,USDA Risk Management Agency,US Executive Branch,US Department of Agriculture,USDA Secretary for Farm Production and Conservation,Agency,rma.usda.gov,rma,United States,,,,https://www.rma.usda.gov/en/About-RMA/Who-We-Are,,,
usda natural resources conservation service,usda natural resources conservation service,USDA Natural Resources Conservation Service,US Executive Branch,US Department of Agriculture,USDA Secretary for Farm Production and Conservation,Agency,nrcs.usda.gov,ncrs,United States,,,,https://www.nrcs.usda.gov/wps/portal/nrcs/main/national/about/org/,,,
usda secretary for food nutrition and consumer services,usda secretary for food nutrition and consumer services,"USDA Secretary for Food, Nutrition and Consumer Services",US Executive Branch,US Department of Agriculture,USDA Secretary/Deputy Secretary,Under Secretary Office,,,United States,,,,,,,
usda food and nutrition service,usda food and nutrition service,USDA Food and Nutrition Service,US Executive Branch,US Department of Agriculture,"USDA Secretary for Food, Nutrition and Consumer Services",,fns.usda.gov,fns,United States,,,,https://www.fns.usda.gov/programs,,,
usda secretary for food safety,usda secretary for food safety,USDA Secretary for Food Safety,US Executive Branch,US Department of Agriculture,USDA Secretary/Deputy Secretary,Under Secretary Office,,,United States,,,,,,,
